NAME;TEXT_SHORT;ARTICLE_ID;ORDER_ID;SUPPLIER;PHOTO;SWEIGHT
BL_Clip_TB_BM_zS_09350813;CLIP top BLUMOTION Alurahmenscharnier 95°, gerade, mit Feder, Topf: Schrauben;09350813;71B950A;Blum;BLUM_71B950A.jpg;0
BL_Clip_TB_BM_zS_09350983;CLIP top BLUMOTION Alurahmenscharnier 95°, 9,5mm gekröpft, mit Feder, Topf: Schr;09350983;71B960A;Blum;BLUM_71B960A.jpg;0
BL_Clip_TB_BM_zS_09351043;CLIP top BLUMOTION Alurahmenscharnier 95°, 18mm gekröpft, mit Feder, Topf: Schra;09351043;71B970A;Blum;BLUM_71B970A.jpg;0
BL_Clip_TB_INS_06779743;CLIP top Standardscharnier 107°, 9,5 mm gekröpft, mit Feder, Topf: INSERTA;06779743;75T1690B;Blum;BLUM_75T1690B.jpg;98
BL_Clip_TB_INS_06862643;CLIP top Standardscharnier 107°, 18 mm gekröpft, mit Feder, Topf: INSERTA;06862643;75T1790B;Blum;BLUM_75T1790B.jpg;106
BL_Clip_TB_INS_06874063;CLIP top Standardscharnier 120°, gerade, ohne Feder, Topf: INSERTA;06874063;70T5590BTL;Blum;BLUM_70T5590BTL.jpg;100
BL_Clip_TB_INS_06913653;CLIP Standardscharnier 100°, 9,5 mm gekröpft, mit Feder, Topf: INSERTA;06913653;71M2690B;Blum;BLUM_71M2690B.jpg;0
BL_Clip_TB_INS_06913733;CLIP Standardscharnier 100°, 18 mm gekröpft, mit Feder, Topf: INSERTA;06913733;71M2790B;Blum;BLUM_71M2790B.jpg;0
BL_Clip_TB_INS_09001573;CLIP top Standardscharnier 110°, gerade, mit Feder, Topf: INSERTA;09001573;71T3590;Blum;BLUM_71T3590.jpg;0
BL_Clip_TB_INS_09001643;CLIP top Standardscharnier 110°, 9,5mm gekröpft, mit Feder, Topf: INSERTA;09001643;71T3690;Blum;BLUM_71T3690.jpg;0
BL_Clip_TB_INS_09001713;CLIP top Standardscharnier 110°, 18mm gekröpft, mit Feder, Topf: INSERTA;09001713;71T3790;Blum;BLUM_71T3790.jpg;0
BL_Clip_TB_Mini_zS_06457973;CLIP top Minischarnier 94°, 9,5 mm gekröpft, mit Feder, Topf: Schrauben;06457973;71T0650;Blum;BLUM_71T0650.jpg;64
BL_Clip_TB_Mini_zS_06458003;CLIP top Minischarnier 94°, 18 mm gekröpft, mit Feder, Topf: Schrauben;06458003;71T0750;Blum;BLUM_71T0750.jpg;66
BL_Clip_TB_Rahmen_zS_07655633;CLIP top Alurahmenscharnier 120°, gerade, ohne Feder, Topf: Schrauben;07655633;72T550A.TL;Blum;BLUM_72T550A_TL.jpg;72
BL_Clip_TB_WWS_INS_07133263;CLIP top Weitwinkelscharnier 170°, 9,5 mm gekröpft, mit Feder, Topf: INSERTA;07133263;71T6640B;Blum;BLUM_71T6640B.jpg;234
BL_Clip_TB_zP_03283333;CLIP top Standardscharnier 107°, gerade, mit Feder, Topf: Einpressen;03283333;75T1580;Blum;BLUM_75T1580.jpg;74
BL_Clip_TB_zP_03564933;CLIP top Standardscharnier 107°, 9,5 mm gekröpft, mit Feder, Topf: Einpressen;03564933;75T1680;Blum;BLUM_75T1680.jpg;76
BL_Clip_TB_zS_06510533;CLIP top Standardscharnier 120°, gerade, ohne Feder, Topf: Schrauben;06510533;70T5550.TL;Blum;BLUM_70T5550_TL.jpg;70
BL_Clip_TB_ZwS_06796673;CLIP top Zwischenscharnier, gerade, ohne Feder, Topf: Schrauben;06796673;78Z5500T;Blum;BLUM_78Z5500T.jpg;78
BL_Clip_TB_ZwS_06797133;CLIP top Zwischenscharnier AVENTOS HF 134°, ohne Feder, Topf: EXPANDO;06797133;78Z553ET;Blum;BLUM_78Z553ET.jpg;82
BL_Clip_TB_ZwS_06797303;CLIP top Zwischenscharnier-Alu AVENTOS HF 134°, ohne Feder, Topf: Schrauben;06797303;78Z550AT;Blum;BLUM_78Z550AT.jpg;76
BL_CLIP_top_BLU_STS_95_Topf_IN;CLIP top BLUMOTION Stollenscharnier 95 Topf INSERTA;05448391;79B9990;Blum;BLUM_79B9990.jpg;0
BL_CLIP_top_WWS_155_Eck_Topf_I;CLIP top Weitwinkelscharnier 155 Eckanschlag Topf INSERTA;09773956;71T7540N01;Blum;BLUM_71T7540N01.jpg;0
BL_CLIP_top_WWS_155_Mit_Topf_I;CLIP top Weitwinkelscharnier 155 Mittelanschlag Topf INSERTA;05938219;71T7640N01;Blum;BLUM_71T7640N01.jpg;0
BL_LBX_FBF_K_Exp;LEGRABOX Frontbefestigung, Höhe K, EXPANDO, symmetrisch;04314617;ZF7K70E2;Blum;BLUM_ZF7K70E2.jpg;13.5
BL_LBX_FBF_M_Exp;LEGRABOX Frontbefestigung, Höhe M, EXPANDO, symmetrisch;07054881;ZF7M70E2;Blum;BLUM_ZF7M70E2.jpg;9.1
BL_LBX_FBF_N_Exp;LEGRABOX Frontbefestigung, EXPANDO, symmetrisch;04745381;ZF7N70E2;Blum;BLUM_ZF7N70E2.jpg;7.3
BL_LBX_FRH_ISK_M_weiss;LEGRABOX Fronthalter, Höhe M, für Innenschubkasten, links/rechts, für LEGRABOX pure;01777320;ZI7.0MS0;Blum;BLUM_ZI7_0MS0.jpg;353.3
BL_LBX_KS_BM_270_40kg;LEGRABOX Korpusschiene mit BLUMOTION, Vollauszug, 40 kg, NL=270 mm, für Kupplung, links/rechts;01854191;750.2701B;Blum;BLUM_750_2701B.jpg;1460.7
BL_LBX_KS_BM_400_40kg;LEGRABOX Korpusschiene mit BLUMOTION, Vollauszug, 40 kg, NL=400 mm, für Kupplung, links/rechts;02191349;750.4001B;Blum;BLUM_750_4001B.jpg;2005.4
BL_LBX_KS_BM_450_40kg;LEGRABOX Korpusschiene mit BLUMOTION, Vollauszug, 40 kg, NL=450 mm, für Kupplung, links/rechts;02345608;750.4501B;Blum;BLUM_750_4501B.jpg;2055.8
BL_LBX_KS_BM_500_40kg;LEGRABOX Korpusschiene mit BLUMOTION, Vollauszug, 40 kg, NL=500 mm, für Kupplung, links/rechts;02719117;750.5001B;Blum;BLUM_750_5001B.jpg;2267.2
BL_LBX_RWH_K_weiss;LEGRABOX Holzrückwandhalter, Höhe K (140 mm), links/rechts;04507006;ZB7K000S;Blum;BLUM_ZB7K000S.jpg;35
BL_LBX_RWH_M_weiss;LEGRABOX Holzrückwandhalter, Höhe M (102 mm), links/rechts;05456308;ZB7M000S;Blum;BLUM_ZB7M000S.jpg;19.5
BL_LBX_RWH_N_weiss;LEGRABOX Holzrückwandhalter, Höhe N (78 mm), links/rechts;02454505;ZB7N000S;Blum;BLUM_ZB7N000S.jpg;14.9
BL_LBX_VDS_ISK_IAZ_RE_weiss;LEGRABOX Vorderstück für Innenschubkasten und Innenauszug mit Querreling, KB=1200 mm, zum Ablängen;07731476;ZV7.1043C01;Blum;BLUM_ZV7_1043C01.jpg;822.2
BL_LBX_ZA_K_400_weiss;LEGRABOX Zarge, Höhe K (128,3 mm), NL=400 mm, links/rechts, für LEGRABOX pure;09412510;770K4002S;Blum;BLUM_770K4002S.jpg;1945.4
